Name,F,M,M_weight,F_weight
AJOONI,5,0,0,1
AJWA,5,0,0,1
AKAI,0,5,1,0
AKARI,18,0,0,1
AKASH,0,189,1,0
AKASHA,45,0,0,1
AKAYLA,31,0,0,1
AKBAR,0,14,1,0
AKEEL,0,5,1,0
AKEELAH,65,0,0,1
AKEEM,0,970,1,0
AKEEMA,6,0,0,1
AKEEN,0,5,1,0
AKEMI,18,0,0,1
AKHIL,0,31,1,0
AKIA,19,0,0,1
AKIEM,0,5,1,0
AKIL,0,375,1,0
AKILA,5,0,0,1
AKILAH,358,0,0,1
AKILI,0,6,1,0
AKIM,0,81,1,0
AKIN,0,16,1,0
AKINA,5,0,0,1
AKING,0,6,1,0
AKIRA,387,39,0.091549296,0.908450704
AKIVA,0,887,1,0
AKOSUA,9,0,0,1
AKRAM,0,72,1,0
AKSEL,0,51,1,0
AKSHAJ,0,5,1,0
AKSHARA,6,0,0,1
AKSHAY,0,92,1,0
AKUA,60,0,0,1
AL,0,1676,1,0
ALAA,98,5,0.048543689,0.951456311
ALAHIA,12,0,0,1
ALAIA,353,0,0,1
ALAIAH,18,0,0,1
ALAIJAH,7,0,0,1
ALAIN,0,579,1,0
ALAINA,1847,0,0,1
ALAINE,15,0,0,1
ALAISHA,21,0,0,1
ALAIYA,11,0,0,1
ALAIYAH,10,0,0,1
ALAN,5,38597,0.999870473,0.000129527
ALANA,4693,0,0,1
ALANAH,181,0,0,1
ALANE,110,0,0,1
ALANI,553,0,0,1
ALANIE,26,0,0,1
ALANIS,302,0,0,1
ALANNA,1984,0,0,1
ALANNAH,433,0,0,1
ALANNI,5,0,0,1
ALANY,5,0,0,1
ALARA,24,0,0,1
ALARIC,0,42,1,0
ALASIA,43,0,0,1
ALASKA,5,0,0,1
ALASSANE,0,5,1,0
ALAURA,23,0,0,1
ALAYA,178,0,0,1
ALAYAH,178,0,0,1
ALAYLA,5,0,0,1
ALAYNA,878,0,0,1
ALAYNAH,5,0,0,1
ALAYNE,45,0,0,1
ALAYSHA,61,0,0,1
ALAYSIA,183,0,0,1
ALBA,1020,0,0,1
ALBAN,0,54,1,0
ALBANA,11,0,0,1
ALBERT,62,44800,0.998617984,0.001382016
ALBERTA,3297,0,0,1
ALBERTHA,22,0,0,1
ALBERTINA,23,0,0,1
ALBERTINE,12,0,0,1
ALBERTO,0,5200,1,0
ALBERTUS,0,5,1,0
ALBI,0,6,1,0
ALBIE,0,5,1,0
ALBIERI,0,5,1,0
ALBIERY,0,5,1,0
ALBIN,0,181,1,0
ALBINA,343,0,0,1
ALBINO,0,5,1,0
ALBION,0,6,1,0
ALCIDES,0,44,1,0
ALDA,184,0,0,1
ALDAIR,0,47,1,0
ALDEN,0,746,1,0
ALDER,0,5,1,0
ALDIN,0,52,1,0
ALDO,0,1382,1,0
ALDONA,41,0,0,1
ALDRIN,0,5,1,0
ALEA,166,0,0,1
ALEAH,594,0,0,1
ALEASHA,10,0,0,1
ALEC,0,2989,1,0
ALECIA,557,0,0,1
ALEEAH,37,0,0,1
ALEEM,0,5,1,0
ALEEN,32,0,0,1
ALEENA,705,0,0,1
ALEESHA,49,0,0,1
ALEEYA,11,0,0,1
ALEEYAH,28,0,0,1
ALEEZA,167,0,0,1
ALEIA,15,0,0,1
ALEIDA,73,0,0,1
ALEIGHA,93,0,0,1
ALEISHA,62,0,0,1
ALEJANDR,0,6,1,0
ALEJANDRA,1351,0,0,1
ALEJANDRINA,13,0,0,1
ALEJANDRO,0,4983,1,0
ALEK,0,66,1,0
ALEKSANDAR,0,27,1,0
ALEKSANDER,0,260,1,0
ALEKSANDR,0,60,1,0
ALEKSANDRA,356,0,0,1
ALEKSEY,0,16,1,0
ALEKZANDER,0,5,1,0
ALEN,0,155,1,0
ALENA,625,0,0,1
ALENE,98,0,0,1
ALESANDRA,5,0,0,1
ALESANDRO,0,6,1,0
ALESHA,377,0,0,1
ALESHIA,38,0,0,1
ALESIA,300,0,0,1
ALESSA,66,0,0,1
ALESSAND,0,5,1,0
ALESSANDRA,2031,0,0,1
ALESSANDRIA,5,0,0,1
ALESSANDRO,0,1009,1,0
ALESSIA,826,0,0,1
ALESSIO,0,147,1,0
ALETA,210,0,0,1
ALETHA,173,0,0,1
ALETHEA,176,0,0,1
ALETHIA,40,0,0,1
ALEX,332,21543,0.984822857,0.015177143
ALEXA,11007,0,0,1
ALEXANDE,0,299,1,0
ALEXANDER,449,56943,0.99217661,0.00782339
ALEXANDR,301,5,0.016339869,0.983660131
ALEXANDRA,23435,17,0.000724885,0.999275115
ALEXANDRE,0,560,1,0
ALEXANDREA,373,0,0,1
ALEXANDRIA,5513,0,0,1
ALEXANDRO,0,159,1,0
ALEXANDROS,0,273,1,0
ALEXANDRU,0,5,1,0
ALEXAVIER,0,72,1,0
ALEXCIA,22,0,0,1
ALEXEI,0,62,1,0
ALEXES,7,0,0,1
ALEXEY,0,5,1,0
ALEXI,173,124,0.417508418,0.582491582
ALEXIA,1920,0,0,1
ALEXIE,5,11,0.6875,0.3125
