"Title","Average_2014","Male_2014","Female_2014","Gap_2014","Average_2015","Male_2015","Female_2015","Gap_2015","Average_2016","Male_2016","Female_2016","Gap_2016","Average_2017","Male_2017","Female_2017","Gap_2017","Average_2018","Male_2018","Female_2018","Gap_2018","Average_2019","Male_2019","Female_2019","Gap_2019","Average_2020","Male_2020","Female_2020","Gap_2020"
"HIGHER EDUCATION OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,112921.409801722,113368.389395797,112636.174873112,"0.3%",123267.825879658,123212.5733057,123302.560246822,"0.0%",118650.171620385,118706.131899927,118615.390406066,"0.0%",117787.580242911,118047.965653689,117614.219060192,"0.2%",120628.438596491,120455.433719926,120741.608810955,"-0.1%"
"HOUSING ASSISTANT",54694.2314938909,54513.2032398779,54751.4797802969,"-0.2%",56689.9517147509,55943.2980116567,56922.8156673385,"-0.9%",58359.4675260997,58268.8207844825,58387.5018369831,"-0.1%",59692.4744075013,59409.3376493993,59779.8534572417,"-0.3%",57160.1018983336,57514.4139328217,57057.1413418918,"0.4%",56350.4521555393,55466.1875323396,56617.1263387219,"-1.0%",56957.5016891892,56098.1056578607,57213.4733086466,"-1.0%"
"HOUSING CARETAKER",NA,NA,NA,NA,55944.7267320504,56010.8656749858,55753.8809744576,"0.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INSPECTOR",56816.3345942269,57168.23708424,53594.5325344409,"3.2%",60008.2733160731,60306.1103531024,56955.4649563831,"2.9%",62357.9870806194,62751.0915872423,58472.8965607285,"3.5%",61848.8270264392,62438.3193121506,56220.4403318461,"5.2%",60303.0079734137,60761.9358637603,56041.4226038017,"4.0%",62334.4226180751,62885.2718263981,57483.8605525436,"4.5%",59530.642228739,60044.8895695325,56502.2293388497,"3.0%"
"INSPECTOR CONSTRUCTION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68961.3883161512,69200.4541672035,65828.7015701984,"2.5%"
"INVESTIGATOR",48175.1826925374,49401.0783397223,47150.7784066873,"2.3%",50738.1680785967,51443.363527074,50177.8713103377,"1.2%",53754.9097674728,54877.6142992116,52853.7353137311,"1.9%",55228.7622727778,55523.676942337,54976.4175250071,"0.5%",53510.704746218,53152.3204202015,53816.4939337597,"-0.6%",56413.1064343407,57279.0013813256,55710.3131203621,"1.4%",56346.4012539185,56993.3110101329,55808.1280443713,"1.1%"
"JOB OPPORTUNITY SPECIALIST",44204.3541689052,44119.075116891,44230.4223872979,"-0.1%",45748.434845176,45433.4884737587,45855.1294266889,"-0.5%",45935.0463684667,45763.2870607207,45994.3846803655,"-0.3%",47033.3797010779,46803.8642558154,47114.8364090632,"-0.3%",46042.2631581379,45828.3356057757,46118.6417378912,"-0.3%",47197.5500836808,46986.3900989115,47277.7675632158,"-0.3%",48046.0428736964,47854.1440831951,48119.7244889148,"-0.3%"
"JUVENILE COUNSELOR",42706.5951885545,42373.0978079828,43013.9000940973,"-0.8%",45005.7647213185,44922.3575336957,45085.8968438097,"-0.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LECTURER",68201.7579446248,67762.9480058343,68587.8702214489,"-0.6%",69152.6000175418,68902.0646930924,69376.1659024205,"-0.3%",68718.5618863791,68299.8442432262,69126.5761491104,"-0.6%",75861.6101829848,75322.0711558584,76377.7358001104,"-0.7%",73967.8308616849,73770.2311624272,74153.8597866535,"-0.3%",74073.5001596784,73622.4444021211,74558.3042684002,"-0.6%",77740.4634146341,77658.3003702775,77825.4621911201,"-0.1%"
"LIEUTENANT",108375.739711134,107906.183322012,115450.708393581,"-3.4%",112437.398496673,111943.744835702,119728.430062266,"-3.4%",113116.998337786,112628.720225572,120583.407538192,"-3.4%",113392.476791525,112897.776906967,121008.756241357,"-3.5%",114957.795667135,114488.487232871,122007.710885091,"-3.2%",112350.029955562,111830.571411483,120457.655047872,"-3.7%",112861.84455011,112134.690369382,124271.57690047,"-5.1%"
"MOTOR VEHICLE OPERATOR",44993.0088679752,45042.5098155827,44601.1422707193,"0.5%",46563.1771726002,46659.795366942,45639.7951610354,"1.1%",46805.8390479254,46884.6573750675,46133.6181005041,"0.8%",47533.1924699044,47514.2653364126,47701.7561918281,"-0.2%",46029.7086558772,46108.9271558668,45360.2789296713,"0.8%",47284.049443309,47428.7432628125,46073.5636020812,"1.4%",48681.8479262673,48775.1333622815,47936.8470678041,"0.9%"
"OCCUPATIONAL THERAPIST",NA,NA,NA,NA,70436.3480531408,70669.0934899855,70402.7632334364,"0.2%",72378.8261152927,72592.2776864163,72349.0127645755,"0.2%",74400.0944973857,74672.23779855,74362.7841632864,"0.2%",76066.6616285452,76293.7989665812,76035.0406984811,"0.2%",76446.8048729893,76876.8235089763,76388.3528353601,"0.3%",77593.3827893175,77851.6313351652,77559.0815489187,"0.2%"
